BRANDS,CATEGORY_TAGS,CITY,ENCLOSED,INCLUDES_PARKING_LOT,LATITUDE,LOCATION_NAME,LONGITUDE,MEDIAN_DWELL,NAICS_CODE,NORMALIZED_VISITS_BY_TOTAL_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,POSTAL_CODE,RAW_VISITOR_COUNTS,RAW_VISIT_COUNTS,REGION,STREET_ADDRESS,SUB_CATEGORY,TOP_CATEGORY,dwell_5_20,dwell_lt5,dwell_61_240,dwell_gt240,dwell_21_60,dwell_total_obs,peak_hour,evening_share,avg_daily_visits,max_daily_visits,std_daily_visits,dwell_lt5_share,dwell_5_20_share,dwell_21_60_share,dwell_61_240_share,dwell_gt240_share,fast_food_behavior_score,visit_volume_score,stability_score,zip_restaurant_count,competition_score,fast_food_behavior_score_norm
,"Bar or Pub,Korean Food,Late Night,Sushi",Boston,True,False,42.350179,Crave Chinatown,-71.06081,97.0,722511,0.01372069562,0.0009521986699,2111.0,948.0,2341.0,MA,75 Kneeland St,Full-Service Restaurants,Restaurants and Other Eating Places,199,1204,292,498,145,2338.0,13,0.23237148862984902,74.74193548387096,88.0,7.029742077292525,0.5149700598802395,0.08511548331907613,0.062018819503849444,0.12489307100085544,0.21300256629597947,0.34302822925577414,0.055307381408211016,0.9686640896136726,66,0.19753086419753085,0.5717137154262902
,Chinese Food,Boston,True,False,42.35238,Green China,-71.073266,19.0,722511,0.009486576178,0.0006561008843,2116.0,1072.0,1611.0,MA,45 Newbury St Ste 205,Full-Service Restaurants,Restaurants and Other Eating Places,38,1201,131,191,48,1609.0,13,0.2867107195301028,51.83870967741935,111.0,18.155416456863897,0.7464263517712865,0.023617153511497825,0.02983219390926041,0.08141702921068987,0.11870727159726538,0.457302672467371,0.038053369259495616,0.9177914475290098,81,0.012345679012345734,0.7621711207789517
,Chinese Food,Boston,False,False,42.351123,Waitlist,-71.062809,4.0,722511,0.02890950027,0.002000426898,2111.0,3099.0,4892.0,MA,702 Washington St,Full-Service Restaurants,Restaurants and Other Eating Places,150,3763,337,496,144,4890.0,12,0.30006101281269065,160.5483870967742,237.0,60.0939257891626,0.7695296523517382,0.03067484662576687,0.029447852760736196,0.0689161554192229,0.10143149284253579,0.47398773006134964,0.1156018813963932,0.7260257439826401,66,0.19753086419753085,0.7899795501022494
,French Food,Boston,True,,42.347037,Coquette,-71.04217,2.0,722511,0.0372695252,0.002582725675,2210.0,3738.0,6347.0,MA,450 Summer St,Full-Service Restaurants,Restaurants and Other Eating Places,168,4848,393,797,138,6344.0,15,0.278711816244376,205.41935483870967,273.0,36.21421409901882,0.7641866330390921,0.02648171500630517,0.021752837326607818,0.06194829760403531,0.12563051702395964,0.46910466582597726,0.14999172752842185,0.8352167902466083,82,0.0,0.7818411097099621
Caffè Nero,"Breakfast,Casual Dining,Coffee Shop,Drinks,Healthy Food,Pastries,Snacks",Boston,True,False,42.350227,Caffè Nero,-71.047881,1.0,722515,0.0001120884057,7.582582918e-06,2210.0,17.0,19.0,MA,368 Congress St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,0,15,0,1,0,16.0,13,0.20833333333333334,0.6774193548387096,3.0,0.818617905835453,0.9375,0.0,0.0,0.0,0.0625,0.5625,0.00042544139544777704,0.997064731780418,82,0.0,0.9375
,"Bakery,Mediterranean Food",Boston,False,False,42.355438,Bonapita,-71.058868,5.0,722513,0.001250163038,8.636725003e-05,2110.0,142.0,213.0,MA,49 Franklin St,Limited-Service Restaurants,Restaurants and Other Eating Places,11,171,12,11,6,211.0,16,0.281437125748503,6.838709677419355,17.0,2.5915093894703136,0.8104265402843602,0.052132701421800945,0.02843601895734597,0.05687203791469194,0.052132701421800945,0.5071090047393365,0.005010754213051596,0.9889581064357548,46,0.4444444444444444,0.8451816745655609
Shake Shack,"Burgers,Counter Service,Dinner,Lunch,Truck or Cart",Boston,True,False,42.349623,Shake Shack,-71.081615,83.0,722513,0.02530274137,0.001755531427,2116.0,1921.0,4313.0,MA,234-236 Newbury St Fairfield St,Limited-Service Restaurants,Restaurants and Other Eating Places,278,2464,568,726,276,4312.0,15,0.2560916179337232,137.83870967741936,161.0,11.714608399258204,0.5714285714285714,0.06447124304267161,0.0640074211502783,0.13172541743970315,0.1683673469387755,0.36864564007421147,0.10191684984282304,0.9472423295045085,81,0.012345679012345734,0.6144094001236858
,Cafe,Boston,False,False,42.344752,The Cafe at 1295,-71.098354,1.0,722513,0.000739992956,5.101064283e-05,2215.0,112.0,125.0,MA,1295 Boylston St,Limited-Service Restaurants,Restaurants and Other Eating Places,0,125,0,0,0,125.0,17,0.4009009009009009,4.161290322580645,7.0,1.7431298175621028,1.0,0.0,0.0,0.0,0.0,0.6,0.0029308185019735755,0.9928373598491814,74,0.09876543209876543,1.0
,Chinese Food,Boston,False,False,42.351682,Wai Wai Restaurant,-71.06028,755.0,722511,0.0004004402661,2.789869397e-05,2111.0,32.0,69.0,MA,26 Oxford St,Full-Service Restaurants,Restaurants and Other Eating Places,0,52,0,16,0,68.0,11,0.18666666666666668,2.161290322580645,5.0,1.648005132186426,0.7647058823529411,0.0,0.0,0.0,0.23529411764705882,0.45882352941176463,0.00160722304946938,0.9932723217137331,66,0.19753086419753085,0.7647058823529411
,,Boston,True,False,42.351129,New Peking Cuisine Restaurant,-71.060904,12.0,722511,0.001305386458,9.101902966e-05,2111.0,173.0,222.0,MA,10 Tyler St,Full-Service Restaurants,Restaurants and Other Eating Places,9,172,17,5,16,219.0,11,0.3620178041543027,7.354838709677419,13.0,2.609515924665379,0.7853881278538812,0.0410958904109589,0.0730593607305936,0.0776255707762557,0.0228310502283105,0.48767123287671227,0.005223474910775485,0.9888757707508415,66,0.19753086419753085,0.8127853881278538
